Run	class_label
SRR10222214	0
SRR10222224	0
SRR10222228	0
SRR10222270	0
SRR10222274	0
SRR10222283	0
SRR10222293	0
SRR10222295	0
SRR10222210	0
SRR10222211	0
SRR10222215	0
SRR10222223	0
SRR10222231	0
SRR10222235	0
SRR10222271	0
SRR10222275	0
SRR10222284	0
SRR10222288	0
SRR10222291	0
SRR10222233	0
SRR10222180	0
SRR10222185	0
SRR10222205	0
SRR10222241	0
SRR10222245	0
SRR10222254	0
SRR10222258	0
SRR10222263	0
SRR10222265	0
SRR10222181	0
SRR10222184	0
SRR10222194	0
SRR10222198	0
SRR10222201	0
SRR10222203	0
SRR10222240	0
SRR10222244	0
SRR10222253	0
SRR10222261	0
SRR10222193	0
SRR10222209	1
SRR10222212	1
SRR10222216	1
SRR10222222	1
SRR10222234	1
SRR10222236	1
SRR10222272	1
SRR10222276	1
SRR10222279	1
SRR10222286	1
SRR10222219	1
SRR10222225	1
SRR10222229	1
SRR10222269	1
SRR10222282	1
SRR10222285	1
SRR10222289	1
SRR10222294	1
SRR10222296	1
SRR10222226	1
SRR10222179	1
SRR10222186	1
SRR10222189	1
SRR10222196	1
SRR10222199	1
SRR10222206	1
SRR10222239	1
SRR10222246	1
SRR10222252	1
SRR10222255	1
SRR10222264	1
SRR10222182	1
SRR10222192	1
SRR10222195	1
SRR10222204	1
SRR10222242	1
SRR10222249	1
SRR10222256	1
SRR10222259	1
SRR10222266	1
SRR10222218	2
SRR10222220	2
SRR10222230	2
SRR10222281	2
SRR10222290	2
SRR10222297	2
SRR10222208	2
SRR10222217	2
SRR10222227	2
SRR10222237	2
SRR10222273	2
SRR10222277	2
SRR10222278	2
SRR10222280	2
SRR10222292	2
SRR10222287	2
SRR10222268	2
SRR10222213	2
SRR10222221	2
SRR10222232	2
SRR10222183	2
SRR10222187	2
SRR10222200	2
SRR10222202	2
SRR10222207	2
SRR10222243	2
SRR10222247	2
SRR10222248	2
SRR10222250	2
SRR10222260	2
SRR10222267	2
SRR10222178	2
SRR10222188	2
SRR10222190	2
SRR10222191	2
SRR10222238	2
SRR10222251	2
SRR10222257	2
SRR10222262	2
SRR10222197	2
