# Constructed from biom file
#OTU ID	SRR10222178	SRR10222179	SRR10222180	SRR10222181	SRR10222182	SRR10222183	SRR10222184	SRR10222185	SRR10222186	SRR10222187	SRR10222188	SRR10222189	SRR10222190	SRR10222191	SRR10222193	SRR10222194	SRR10222195	SRR10222196	SRR10222197	SRR10222199	SRR10222200	SRR10222201	SRR10222202	SRR10222203	SRR10222204	SRR10222205	SRR10222206	SRR10222208	SRR10222209	SRR10222210	SRR10222211	SRR10222212	SRR10222213	SRR10222214	SRR10222215	SRR10222216	SRR10222217	SRR10222218	SRR10222219	SRR10222220	SRR10222221	SRR10222222	SRR10222223	SRR10222224	SRR10222225	SRR10222226	SRR10222227	SRR10222228	SRR10222229	SRR10222230	SRR10222231	SRR10222232	SRR10222233	SRR10222234	SRR10222235	SRR10222236	SRR10222237	SRR10222238	SRR10222239	SRR10222240	SRR10222241	SRR10222242	SRR10222243	SRR10222244	SRR10222245	SRR10222246	SRR10222247	SRR10222248	SRR10222249	SRR10222250	SRR10222251	SRR10222252	SRR10222253	SRR10222254	SRR10222255	SRR10222256	SRR10222257	SRR10222258	SRR10222259	SRR10222260	SRR10222261	SRR10222262	SRR10222263	SRR10222264	SRR10222265	SRR10222266	SRR10222267	SRR10222268	SRR10222269	SRR10222270	SRR10222271	SRR10222272	SRR10222273	SRR10222274	SRR10222275	SRR10222276	SRR10222277	SRR10222278	SRR10222279	SRR10222280	SRR10222281	SRR10222282	SRR10222283	SRR10222284	SRR10222285	SRR10222286	SRR10222287	SRR10222288	SRR10222289	SRR10222290	SRR10222291	SRR10222292	SRR10222293	SRR10222294	SRR10222295	SRR10222296	SRR10222297
Otu0001	266.0	255.0	0.0	265.0	126.0	89.0	145.0	23.0	199.0	214.0	181.0	400.0	68.0	195.0	180.0	580.0	214.0	204.0	39.0	149.0	161.0	239.0	249.0	28.0	0.0	109.0	64.0	94.0	310.0	0.0	278.0	246.0	178.0	197.0	414.0	124.0	169.0	289.0	440.0	267.0	256.0	289.0	26.0	467.0	168.0	266.0	5.0	129.0	222.0	48.0	232.0	296.0	23.0	8.0	130.0	42.0	210.0	184.0	298.0	0.0	307.0	177.0	65.0	1.0	2.0	161.0	224.0	263.0	377.0	127.0	237.0	182.0	29.0	503.0	262.0	155.0	205.0	526.0	142.0	190.0	5.0	405.0	13.0	0.0	0.0	0.0	211.0	27.0	356.0	0.0	296.0	249.0	137.0	166.0	487.0	164.0	166.0	234.0	448.0	312.0	366.0	235.0	293.0	403.0	127.0	354.0	6.0	225.0	165.0	71.0	239.0	19.0	7.0	5.0	73.0	46.0	68.0
Otu0002	156.0	209.0	189.0	208.0	93.0	88.0	3.0	5.0	139.0	112.0	173.0	307.0	64.0	121.0	143.0	259.0	273.0	143.0	351.0	73.0	86.0	155.0	197.0	36.0	0.0	202.0	271.0	651.0	153.0	134.0	185.0	37.0	83.0	3.0	126.0	52.0	61.0	58.0	124.0	50.0	123.0	133.0	55.0	413.0	228.0	100.0	254.0	10.0	156.0	57.0	78.0	265.0	97.0	0.0	324.0	108.0	107.0	605.0	240.0	0.0	249.0	69.0	123.0	0.0	0.0	196.0	117.0	227.0	438.0	106.0	221.0	335.0	22.0	148.0	344.0	162.0	351.0	11.0	114.0	172.0	1.0	215.0	35.0	0.0	0.0	0.0	22.0	1246.0	208.0	237.0	249.0	52.0	242.0	0.0	91.0	176.0	118.0	86.0	196.0	38.0	200.0	362.0	141.0	356.0	222.0	57.0	370.0	117.0	157.0	136.0	114.0	0.0	30.0	0.0	453.0	206.0	0.0
Otu0003	323.0	103.0	100.0	86.0	69.0	4.0	124.0	187.0	73.0	52.0	22.0	86.0	133.0	79.0	396.0	0.0	183.0	19.0	0.0	73.0	165.0	91.0	64.0	0.0	16.0	425.0	94.0	100.0	101.0	128.0	97.0	60.0	10.0	60.0	160.0	13.0	31.0	84.0	63.0	104.0	97.0	327.0	28.0	0.0	68.0	42.0	0.0	69.0	159.0	108.0	8.0	102.0	6.0	107.0	156.0	150.0	38.0	233.0	71.0	287.0	105.0	101.0	0.0	0.0	0.0	83.0	38.0	63.0	126.0	124.0	70.0	180.0	802.0	42.0	162.0	65.0	146.0	285.0	56.0	218.0	169.0	78.0	0.0	0.0	0.0	0.0	22.0	91.0	82.0	101.0	76.0	40.0	1.0	64.0	206.0	16.0	23.0	101.0	63.0	108.0	83.0	270.0	150.0	0.0	24.0	64.0	0.0	77.0	131.0	77.0	33.0	6.0	0.0	72.0	92.0	145.0	0.0
Otu0004	105.0	20.0	99.0	77.0	51.0	0.0	38.0	111.0	90.0	24.0	67.0	111.0	48.0	48.0	100.0	241.0	155.0	52.0	15.0	49.0	83.0	66.0	43.0	1.0	192.0	118.0	111.0	82.0	26.0	85.0	49.0	107.0	1.0	49.0	68.0	201.0	56.0	127.0	102.0	34.0	29.0	219.0	136.0	214.0	199.0	31.0	72.0	97.0	103.0	87.0	13.0	55.0	6.0	181.0	190.0	61.0	62.0	83.0	28.0	1.0	90.0	111.0	6.0	0.0	1.0	123.0	25.0	62.0	163.0	82.0	45.0	184.0	27.0	159.0	129.0	66.0	123.0	57.0	82.0	113.0	0.0	61.0	0.0	130.0	0.0	0.0	76.0	78.0	23.0	41.0	58.0	130.0	4.0	40.0	94.0	164.0	63.0	147.0	122.0	86.0	40.0	249.0	99.0	324.0	241.0	52.0	70.0	61.0	169.0	85.0	44.0	0.0	1.0	157.0	148.0	88.0	0.0
Otu0005	0.0	0.0	0.0	0.0	211.0	0.0	992.0	0.0	0.0	482.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	556.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	167.0	0.0	388.0	0.0	0.0	0.0	0.0	309.0	0.0	573.0	0.0	1.0	693.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	124.0	0.0	1035.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	602.0	0.0	1449.0
Otu0006	45.0	54.0	35.0	40.0	33.0	23.0	14.0	17.0	69.0	26.0	18.0	97.0	45.0	25.0	60.0	297.0	73.0	3.0	0.0	0.0	191.0	30.0	21.0	0.0	41.0	76.0	33.0	24.0	74.0	14.0	54.0	64.0	95.0	9.0	65.0	18.0	48.0	39.0	147.0	70.0	39.0	109.0	8.0	185.0	0.0	42.0	0.0	97.0	0.0	111.0	7.0	38.0	7.0	56.0	37.0	27.0	36.0	44.0	66.0	0.0	21.0	76.0	21.0	0.0	0.0	75.0	32.0	44.0	113.0	70.0	21.0	139.0	0.0	104.0	84.0	7.0	72.0	0.0	0.0	187.0	0.0	49.0	0.0	43.0	0.0	887.0	41.0	14.0	60.0	7.0	43.0	31.0	106.0	11.0	113.0	19.0	52.0	40.0	159.0	78.0	31.0	126.0	63.0	244.0	3.0	50.0	0.0	50.0	0.0	79.0	26.0	0.0	1.0	48.0	28.0	30.0	0.0
Otu0007	88.0	67.0	39.0	17.0	73.0	31.0	5.0	64.0	42.0	27.0	41.0	101.0	30.0	4.0	45.0	304.0	42.0	169.0	0.0	0.0	148.0	5.0	39.0	0.0	143.0	0.0	9.0	46.0	57.0	52.0	29.0	115.0	29.0	16.0	102.0	40.0	99.0	35.0	65.0	28.0	48.0	119.0	6.0	81.0	57.0	127.0	0.0	140.0	0.0	106.0	3.0	23.0	58.0	146.0	0.0	36.0	124.0	31.0	73.0	0.0	14.0	86.0	22.0	0.0	0.0	30.0	14.0	46.0	105.0	35.0	4.0	75.0	24.0	114.0	71.0	182.0	56.0	34.0	6.0	127.0	0.0	17.0	1.0	123.0	0.0	0.0	75.0	22.0	46.0	11.0	38.0	121.0	29.0	10.0	130.0	56.0	89.0	36.0	103.0	11.0	23.0	116.0	73.0	141.0	71.0	141.0	0.0	135.0	1.0	54.0	55.0	0.0	11.0	135.0	1.0	27.0	0.0
Otu0008	0.0	78.0	0.0	0.0	68.0	3.0	1.0	0.0	38.0	78.0	43.0	1.0	159.0	121.0	0.0	0.0	103.0	0.0	0.0	0.0	116.0	132.0	78.0	0.0	93.0	0.0	51.0	0.0	96.0	0.0	0.0	85.0	15.0	0.0	0.0	10.0	163.0	87.0	0.0	104.0	73.0	0.0	0.0	0.0	51.0	101.0	0.0	113.0	0.0	156.0	19.0	117.0	82.0	190.0	0.0	138.0	32.0	2.0	145.0	0.0	0.0	73.0	3.0	0.0	0.0	34.0	57.0	31.0	0.0	180.0	90.0	0.0	0.0	36.0	112.0	1.0	91.0	600.0	13.0	136.0	0.0	98.0	0.0	19.0	0.0	0.0	78.0	0.0	76.0	0.0	0.0	67.0	23.0	0.0	1.0	12.0	185.0	143.0	0.0	61.0	60.0	0.0	0.0	0.0	63.0	99.0	0.0	106.0	0.0	151.0	50.0	0.0	3.0	150.0	0.0	89.0	0.0
Otu0009	35.0	0.0	29.0	21.0	8.0	8.0	1.0	15.0	42.0	32.0	46.0	128.0	51.0	64.0	34.0	0.0	39.0	102.0	321.0	22.0	32.0	28.0	50.0	0.0	0.0	14.0	80.0	12.0	0.0	64.0	27.0	8.0	13.0	0.0	102.0	8.0	31.0	51.0	130.0	67.0	89.0	72.0	17.0	0.0	58.0	81.0	261.0	0.0	75.0	18.0	21.0	28.0	1.0	0.0	27.0	61.0	5.0	44.0	0.0	0.0	21.0	4.0	4.0	1.0	0.0	29.0	29.0	53.0	125.0	55.0	59.0	97.0	0.0	0.0	46.0	95.0	90.0	0.0	31.0	50.0	0.0	43.0	0.0	0.0	0.0	0.0	7.0	18.0	0.0	65.0	42.0	4.0	16.0	0.0	119.0	34.0	9.0	38.0	149.0	107.0	58.0	106.0	119.0	0.0	68.0	65.0	337.0	52.0	86.0	5.0	33.0	0.0	0.0	0.0	26.0	77.0	0.0
Otu0010	52.0	44.0	66.0	33.0	54.0	57.0	36.0	156.0	42.0	39.0	30.0	0.0	80.0	20.0	93.0	0.0	70.0	148.0	0.0	50.0	76.0	24.0	57.0	1.0	28.0	0.0	16.0	29.0	67.0	51.0	31.0	39.0	47.0	31.0	55.0	51.0	60.0	25.0	0.0	90.0	27.0	67.0	130.0	0.0	6.0	61.0	0.0	33.0	69.0	46.0	25.0	70.0	34.0	61.0	0.0	10.0	53.0	52.0	51.0	1.0	51.0	65.0	38.0	3.0	0.0	34.0	57.0	22.0	0.0	83.0	12.0	55.0	16.0	55.0	48.0	148.0	39.0	0.0	103.0	61.0	124.0	78.0	0.0	26.0	0.0	0.0	56.0	39.0	63.0	19.0	44.0	47.0	57.0	30.0	74.0	39.0	69.0	31.0	0.0	134.0	17.0	66.0	81.0	0.0	2.0	114.0	0.0	58.0	95.0	34.0	41.0	0.0	4.0	55.0	0.0	6.0	0.0
